,port,lon,lat,country
1,Accra,-0.1869644,5.6037168,Ghana
2,"Africa., port unspecified",-0.1869644,5.6037168,Ghana
3,Ambriz,13.1192563,-7.863084,Angola
4,Americas,66.09924444,18.45776944,Puerto Rico
5,Amsterdam,4.8951679,52.3702157,Netherlands
6,Annapolis,-76.4921829,38.9784453,USA
7,Annotta Bay,-76.7704413,18.2703512,Jamaica
8,"Anomabu, Adja, Agga",-2.092264,5.4257065,Ghana
9,Antigua,-61.8175207,17.0746557,Antigua and Barbuda
10,Antigua or Dominica,-61.8175207,17.0746557,Antigua and Barbuda
11,Antonia,-76.46591111,18.18333333,Jamaica
12,Arcahaie,-72.08611667,18.12778333,Haiti
13,Ardra,2.100833333,6.082866667,Benin
14,Axim,-2.240888,4.8665091,Ghana
15,Badagry,2.8876436,6.4315805,Nigeria
16,Bahamas,-77.39628,25.03428,The Bahamas
17,Bahia,-41.7007272,-12.579738,Brazil
18,Bahia Honda,-83.1639,22.9064,Cuba
19,Baia de Sepetiba,43.8775,-22.970833,Brazil
20,Banana Islands,-13.2115287,8.1158998,Sierra Leone
21,Bance Island,-13.0403748,8.5698616,Sierra Leone
22,Banes,-75.7197039,20.9570351,Cuba
23,Barbados,-59.543198,13.193887,Barbados
24,Barcelona,2.1734035,41.3850639,Spain
25,Bassa,8.7990713,10.0544706,Nigeria
26,Bayonne,-1.474841,43.492949,France
27,Beaufort,80.6833,32.4333,USA
28,Belgium,4.469936,50.503887,Belgium
29,Benguela,13.416501,-12.5905158,Angola
30,Benin,2.315834,9.30769,Benin
31,Berbice,-57.5249708,6.2989153,Guyana
32,Bermuda,-64.7505,32.3078,Bermuda
33,"Bight of Benin, port unspecified",2.315834,9.30769,Benin
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",-8,2.8333,Nigeria
35,Bights,-8,2.8333,Nigeria
36,Biloxi,-88.8853078,30.3960318,USA
37,Bimbia,-8,2.8333,Nigeria
38,Bissagos,-16.083333,11.25,Guinea Bissau
39,Bissau,-15.6177942,11.8816553,Guinea Bissau
40,Black River,-77.8509,18.0257,United States of America
41,Boary,11.86361111,-4.778611111,Congo
42,Bonny,-8,2.8333,Nigeria
43,Bordeaux,-0.57918,44.837789,France
44,Boston,-71.0588801,42.3600825,United States of America
45,Brazil,-51.92528,-14.235004,Brazil
46,"Brazil, region unspecified",-51.92528,-14.235004,Brazil
47,Brest,-4.486076,48.390394,France
48,Bristol,-2.58791,51.454513,United Kingdom
49,Bristol (RI),-71.2662025,41.6771101,USA
50,British Americas,-71.2662025,41.6771101,United States of America
51,British Caribbean,-71.5833,21.75,Turks and Caicos
52,"British Caribbean, colony unspecified",-71.5833,21.75,Turks and Caicos
53,British Leewards,-61.85,17.1167,Antigua and Barbuda
54,Buenos Aires,-58.3815591,-34.6036844,Argentina
55,C.C. Castle and Windward,18.4278,33.9259,South Africa
56,Cabanas,-82.9224,22.9777,Cuba
57,Cabinda,12.197583,-5.5705739,Angola
58,Cabo de BÃºzios,-41.88194444,-24.74694444,Brazil
59,Cabo Frio,-42.0266493,-22.8869007,Brazil
60,Cabo Lopo GonÃ§alves,8.7,-0.633,Gabon
61,Cacheu,-16.1669156,12.2732631,Guinea Bissau
62,Cadiz,-6.2885962,36.5270612,Spain
63,Calabar,8.3417006,4.9757165,Nigeria
64,Cameroons,9.683333333,4.05,Cameroon
65,Cameroons River,9.5569444,3.9202778,Cameroon
66,Campos,-41.3184877,-21.7626902,Brazil
67,CanasÃ_,-81.7828033,23.1130443,Cuba
68,Cap des Palmes,-7.7286111,4.3688889,Liberia
69,Cap FranÃ§ais,69.0563889,-48.6730556,French Southern and Antarctic Lands
70,Cap Lopez,8.7,-0.633,Gabon
71,Cape Coast Castle,-1.2411167,5.10359,Ghana
72,Cape Lahou,-5.016666667,5.133333333,Cote d'Ivoire
73,Cape Mount,-11.3533333,6.7233333,Liberia
74,Cape of Good Hope,18.4719,-34.3581,South Africa
75,Cape Verde Islands,-24,16,Republic of Cabo Verde
76,Caracas,-66.9036063,10.4805937,Venezuela
77,Cardenas,-81.2036,23.0428,Cuba
78,Caribbean,-78.6568942,21.4691137,Caribbean
